hname,aname,hPossession,aPossession,hshotsOnTarget,ashotsOnTarget,hshots,ashots,hyellowCards,ayellowCards,hredCards,aredCards,hfouls,afouls,tournament_id
Korea Republic,Portugal,39,61,6,4,12,12,2,0,0,0,9,11,WC-2022
Serbia,Switzerland,54,46,4,7,11,14,7,4,0,0,18,13,WC-2022
Cameroon,Brazil,35,65,3,6,7,19,5,2,1,0,14,14,WC-2022
Netherlands,United States,42,58,6,7,11,18,2,0,0,0,10,5,WC-2022
Argentina,Australia,60,40,5,2,14,5,0,2,0,0,8,15,WC-2022
France,Poland,55,45,7,3,16,11,1,2,0,0,10,8,WC-2022
England,Senegal,61,39,4,2,8,10,0,1,0,0,16,12,WC-2022
Japan,Croatia,42,58,4,4,12,16,0,2,0,0,13,16,WC-2022
Brazil,Korea Republic,53,47,9,6,18,10,0,1,0,0,8,13,WC-2022
Morocco,Spain,24,76,3,1,6,13,1,1,0,0,15,14,WC-2022
Portugal,Switzerland,47,53,9,1,14,10,0,2,0,0,12,10,WC-2022
Croatia,Brazil,50,50,1,11,9,20,2,3,0,0,22,24,WC-2022
Netherlands,Argentina,52,48,2,6,5,15,8,8,1,0,30,18,WC-2022
Morocco,Portugal,27,73,3,3,9,11,3,1,1,0,15,9,WC-2022
England,France,57,43,6,5,14,9,1,3,0,0,10,14,WC-2022
Argentina,Croatia,40,60,7,3,10,12,2,2,0,0,15,8,WC-2022
France,Morocco,39,61,2,1,14,13,0,1,0,0,11,11,WC-2022
Croatia,Morocco,50,50,4,2,14,7,0,2,0,0,13,11,WC-2022
Argentina,France,54,46,9,5,21,10,4,3,0,0,26,19,WC-2022
