tournament_id,match_id,stage_name,group_stage,knockout_stage,match_date,match_time,match_datetime,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,temp0,temp1,temp2,atemp0,atemp1,atemp2,humid0,humid1,humid2,wind0,wind1,wind2
WC-2002,M-2002-18,group stage,1,0,2002-06-06,15:30,2002-06-06 15:30:00,Daegu,South Korea,T-22,Denmark,DNK,T-65,Senegal,SEN,1,1,0,0,0,0,33.5535,33.1035,32.2535,33.44891,32.256947,30.431324,21.245192,23.545357,25.542059,10.08,11.212135,12.6462
WC-2002,M-2002-21,group stage,1,0,2002-06-07,15:30,2002-06-07 15:30:00,Kobe,Japan,T-74,Sweden,SWE,T-50,Nigeria,NGA,2,1,1,-1,0,0,25.5455,25.4455,24.6955,28.249588,27.089413,26.385355,71.42559,68.79577,73.52252,12.979984,13.237039,13.684735
WC-2002,M-2002-22,group stage,1,0,2002-06-07,18:00,2002-06-07 18:00:00,Jeonju,South Korea,T-73,Spain,ESP,T-55,Paraguay,PRY,3,1,2,-2,0,0,26.716,25.016,23.216,27.749966,26.26782,24.735687,58.17104,62.93057,69.88896,12.287555,9.746631,7.771331
WC-2002,M-2002-23,group stage,1,0,2002-06-07,20:30,2002-06-07 20:30:00,Sapporo,Japan,T-03,Argentina,ARG,T-28,England,ENG,0,1,-1,1,0,0,16.696,15.696,15.196,15.584019,14.452402,13.615532,76.50724,78.90739,78.83446,13.104198,12.88981,14.113652
WC-2002,M-2002-24,group stage,1,0,2002-06-08,15:30,2002-06-08 15:30:00,Daegu,South Korea,T-70,South Africa,ZAF,T-69,Slovenia,SVN,1,0,1,-1,0,0,30.5035,30.4035,29.8035,30.80553,29.772156,29.227085,35.5426,34.487564,35.46376,10.685391,10.799999,10.195057
WC-2002,M-2002-25,group stage,1,0,2002-06-08,18:00,2002-06-08 18:00:00,Ibaraki,Japan,T-41,Italy,ITA,T-18,Croatia,HRV,1,2,-1,1,0,0,25.6425,24.092499,22.3925,25.23346,24.707201,23.508642,50.30692,58.848194,69.95368,13.049689,8.654986,8.28
WC-2002,M-2002-26,group stage,1,0,2002-06-08,20:30,2002-06-08 20:30:00,Seogwipo,South Korea,T-09,Brazil,BRA,T-14,China,CHN,4,0,4,-4,0,0,22.2525,21.5025,20.6025,25.758617,25.127253,24.02765,85.49535,90.8979,94.293465,1.4399999,1.484318,1.835647
WC-2002,M-2002-28,group stage,1,0,2002-06-09,18:00,2002-06-09 18:00:00,Incheon,South Korea,T-17,Costa Rica,CRI,T-80,Turkey,TUR,1,1,0,0,0,0,19.5745,18.874498,18.5245,20.345818,20.33465,20.45653,88.23419,90.722595,92.72989,13.397612,7.928178,4.6938252
WC-2002,M-2002-29,group stage,1,0,2002-06-09,20:30,2002-06-09 20:30:00,Yokohama,Japan,T-44,Japan,JPN,T-62,Russia,RUS,1,0,1,-1,0,0,22.111,20.911001,21.661001,22.87731,22.639296,23.549376,70.34622,80.91486,74.16547,10.163227,6.638072,3.6179552
WC-2002,M-2002-27,group stage,1,0,2002-06-09,15:30,2002-06-09 15:30:00,Miyagi,Japan,T-46,Mexico,MEX,T-25,Ecuador,ECU,2,1,1,-1,0,0,23.2975,22.6475,21.8975,19.341793,18.06823,18.394009,42.511288,42.044643,47.69593,32.039997,30.302078,24.703976
