tournament_id,match_id,stage_name,group_stage,knockout_stage,match_date,match_time,match_datetime,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout
WC-2002,M-2002-33,group stage,1,0,2002-06-11,15:30,2002-06-11 15:30:00,Incheon,South Korea,T-22,Denmark,DNK,T-30,France,FRA,2,0,2,-2,0,0
WC-2002,M-2002-34,group stage,1,0,2002-06-11,15:30,2002-06-11 15:30:00,Suwon,South Korea,T-65,Senegal,SEN,T-84,Uruguay,URY,3,3,0,0,0,0
WC-2002,M-2002-35,group stage,1,0,2002-06-11,20:30,2002-06-11 20:30:00,Shizuoka,Japan,T-11,Cameroon,CMR,T-31,Germany,DEU,0,2,-2,2,0,0
WC-2002,M-2002-36,group stage,1,0,2002-06-11,20:30,2002-06-11 20:30:00,Yokohama,Japan,T-63,Saudi Arabia,SAU,T-60,Republic of Ireland,IRL,0,3,-3,3,0,0
WC-2002,M-2002-40,group stage,1,0,2002-06-12,20:30,2002-06-12 20:30:00,Daejeon,South Korea,T-70,South Africa,ZAF,T-73,Spain,ESP,2,3,-1,1,0,0
WC-2002,M-2002-39,group stage,1,0,2002-06-12,20:30,2002-06-12 20:30:00,Seogwipo,South Korea,T-69,Slovenia,SVN,T-55,Paraguay,PRY,1,3,-2,2,0,0
WC-2002,M-2002-37,group stage,1,0,2002-06-12,15:30,2002-06-12 15:30:00,Osaka,Japan,T-50,Nigeria,NGA,T-28,England,ENG,0,0,0,0,0,0
WC-2002,M-2002-38,group stage,1,0,2002-06-12,15:30,2002-06-12 15:30:00,Miyagi,Japan,T-74,Sweden,SWE,T-03,Argentina,ARG,1,1,0,0,0,0
WC-2002,M-2002-41,group stage,1,0,2002-06-13,15:30,2002-06-13 15:30:00,Suwon,South Korea,T-17,Costa Rica,CRI,T-09,Brazil,BRA,2,5,-3,3,0,0
WC-2002,M-2002-42,group stage,1,0,2002-06-13,15:30,2002-06-13 15:30:00,Seoul,South Korea,T-80,Turkey,TUR,T-14,China,CHN,3,0,3,-3,0,0
WC-2002,M-2002-43,group stage,1,0,2002-06-13,20:30,2002-06-13 20:30:00,Yokohama,Japan,T-25,Ecuador,ECU,T-18,Croatia,HRV,1,0,1,-1,0,0
WC-2002,M-2002-44,group stage,1,0,2002-06-13,20:30,2002-06-13 20:30:00,Ōita,Japan,T-46,Mexico,MEX,T-41,Italy,ITA,1,1,0,0,0,0
WC-2002,M-2002-45,group stage,1,0,2002-06-14,15:30,2002-06-14 15:30:00,Shizuoka,Japan,T-06,Belgium,BEL,T-62,Russia,RUS,3,2,1,-1,0,0
WC-2002,M-2002-46,group stage,1,0,2002-06-14,15:30,2002-06-14 15:30:00,Osaka,Japan,T-79,Tunisia,TUN,T-44,Japan,JPN,0,2,-2,2,0,0
WC-2002,M-2002-47,group stage,1,0,2002-06-14,20:30,2002-06-14 20:30:00,Daejeon,South Korea,T-57,Poland,POL,T-83,United States,USA,3,1,2,-2,0,0
WC-2002,M-2002-48,group stage,1,0,2002-06-14,20:30,2002-06-14 20:30:00,Incheon,South Korea,T-58,Portugal,PRT,T-71,South Korea,KOR,0,1,-1,1,0,0
WC-2002,M-2002-50,round of 16,0,1,2002-06-15,20:30,2002-06-15 20:30:00,Niigata,Japan,T-22,Denmark,DNK,T-28,England,ENG,0,3,-3,3,0,0
WC-2002,M-2002-49,round of 16,0,1,2002-06-15,15:30,2002-06-15 15:30:00,Seogwipo,South Korea,T-31,Germany,DEU,T-55,Paraguay,PRY,1,0,1,-1,0,0
WC-2002,M-2002-51,round of 16,0,1,2002-06-16,15:30,2002-06-16 15:30:00,Ōita,Japan,T-74,Sweden,SWE,T-65,Senegal,SEN,1,2,-1,1,1,0
WC-2002,M-2002-52,round of 16,0,1,2002-06-16,20:30,2002-06-16 20:30:00,Suwon,South Korea,T-73,Spain,ESP,T-60,Republic of Ireland,IRL,1,1,0,0,1,1
WC-2002,M-2002-53,round of 16,0,1,2002-06-17,15:30,2002-06-17 15:30:00,Jeonju,South Korea,T-46,Mexico,MEX,T-83,United States,USA,0,2,-2,2,0,0
WC-2002,M-2002-54,round of 16,0,1,2002-06-17,20:30,2002-06-17 20:30:00,Kobe,Japan,T-09,Brazil,BRA,T-06,Belgium,BEL,2,0,2,-2,0,0
WC-2002,M-2002-55,round of 16,0,1,2002-06-18,15:30,2002-06-18 15:30:00,Miyagi,Japan,T-44,Japan,JPN,T-80,Turkey,TUR,0,1,-1,1,0,0
WC-2002,M-2002-56,round of 16,0,1,2002-06-18,20:30,2002-06-18 20:30:00,Daejeon,South Korea,T-71,South Korea,KOR,T-41,Italy,ITA,2,1,1,-1,1,0
