rank,country_full,country_abrv,rank_date,median_age
33,Honduras,HND,2014-06-05,28.5
3,Brazil,BRA,2014-06-05,27.9
2,Germany,DEU,2014-06-05,25.6
2,Brazil,BRA,2018-06-07,29.0
1,Germany,DEU,2018-06-07,27.9
34,Serbia,SRB,2018-06-07,26.4
36,Australia,AUS,2018-06-07,26.9
37,IR Iran,IRN,2018-06-07,26.1
41,Morocco,MAR,2018-06-07,28.3
45,Egypt,EGY,2018-06-07,29.2
48,Nigeria,NGA,2018-06-07,25.6
27,Senegal,SEN,2018-06-07,27.6
3,Belgium,BEL,2018-06-07,27.4
4,Portugal,PRT,2018-06-07,27.0
5,Argentina,ARG,2018-06-07,30.3
6,Switzerland,CHE,2018-06-07,26.7
7,France,FRA,2018-06-07,25.2
8,Poland,POL,2018-06-07,28.8
10,Spain,ESP,2018-06-07,28.4
11,Peru,PER,2018-06-07,27.0
12,Denmark,DNK,2018-06-07,26.8
12,England,ENG,2018-06-07,25.5
15,Mexico,MEX,2018-06-07,29.1
16,Colombia,COL,2018-06-07,27.2
20,Croatia,HRV,2018-06-07,28.9
21,Tunisia,TUN,2018-06-07,26.2
22,Iceland,ISL,2018-06-07,28.7
23,Costa Rica,CRI,2018-06-07,29.5
24,Sweden,SWE,2018-06-07,28.4
14,Uruguay,URY,2018-06-07,28.2
55,Panama,PAN,2018-06-07,28.3
57,Korea Republic,KOR,2018-06-07,28.3
61,Japan,JPN,2018-06-07,28.1
67,Saudi Arabia,SAU,2018-06-07,28.5
70,Russia,RUS,2018-06-07,28.6
3,Argentina,ARG,2022-10-06,28.3
1,Brazil,BRA,2022-10-06,28.7
2,Belgium,BEL,2022-10-06,29.2
4,France,FRA,2022-10-06,25.3
10,Denmark,DNK,2022-10-06,26.6
61,Ghana,GHA,2022-10-06,24.0
31,Costa Rica,CRI,2022-10-06,27.8
30,Tunisia,TUN,2022-10-06,28.7
28,Korea Republic,KOR,2022-10-06,27.7
26,Poland,POL,2022-10-06,26.9
24,Japan,JPN,2022-10-06,27.6
22,Morocco,MAR,2022-10-06,26.0
21,Serbia,SRB,2022-10-06,26.8
20,IR Iran,IRN,2022-10-06,29.2
19,Wales,WAL,2022-10-06,25.6
18,Senegal,SEN,2022-10-06,26.2
5,England,ENG,2022-10-06,27.2
16,United States,USA,2022-10-06,24.6
15,Switzerland,CHE,2022-10-06,26.8
14,Uruguay,URY,2022-10-06,26.4
13,Mexico,MEX,2022-10-06,27.2
51,Saudi Arabia,SAU,2022-10-06,28.2
50,Qatar,QAT,2022-10-06,26.4
44,Ecuador,ECU,2022-10-06,24.7
43,Cameroon,CMR,2022-10-06,26.9
41,Canada,CAN,2022-10-06,26.2
38,Australia,AUS,2022-10-06,27.1
12,Croatia,HRV,2022-10-06,27.7
11,Germany,DEU,2022-10-06,27.4
7,Spain,ESP,2022-10-06,25.7
8,Netherlands,NLD,2022-10-06,27.0
9,Portugal,PRT,2022-10-06,27.4
