key_id,goal_id,tournament_id,match_id,match_name,match_date,stage_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,player_team_id,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty,minute_total
2105,G-2105,WC-2002,M-2002-10,Brazil vs Turkey,2002-06-03,group stage,T-09,Brazil,BRA,1,0,P-74261,Rivaldo,not applicable,10,T-09,Brazil,BRA,87',87,0,second half,False,True,87
2106,G-2106,WC-2002,M-2002-11,Italy vs Ecuador,2002-06-03,group stage,T-41,Italy,ITA,1,0,P-34670,Vieri,Christian,21,T-41,Italy,ITA,7',7,0,first half,False,False,7
2107,G-2107,WC-2002,M-2002-11,Italy vs Ecuador,2002-06-03,group stage,T-41,Italy,ITA,1,0,P-34670,Vieri,Christian,21,T-41,Italy,ITA,27',27,0,first half,False,False,27
2108,G-2108,WC-2002,M-2002-12,China vs Costa Rica,2002-06-04,group stage,T-17,Costa Rica,CRI,0,1,P-55170,Gómez,Rónald,11,T-17,Costa Rica,CRI,61',61,0,second half,False,False,61
2109,G-2109,WC-2002,M-2002-12,China vs Costa Rica,2002-06-04,group stage,T-17,Costa Rica,CRI,0,1,P-56613,Wright,Mauricio,4,T-17,Costa Rica,CRI,65',65,0,second half,False,False,65
2110,G-2110,WC-2002,M-2002-13,Japan vs Belgium,2002-06-04,group stage,T-06,Belgium,BEL,0,1,P-69659,Wilmots,Marc,7,T-06,Belgium,BEL,57',57,0,second half,False,False,57
2111,G-2111,WC-2002,M-2002-13,Japan vs Belgium,2002-06-04,group stage,T-44,Japan,JPN,1,0,P-96566,Suzuki,Takayuki,11,T-44,Japan,JPN,59',59,0,second half,False,False,59
2112,G-2112,WC-2002,M-2002-13,Japan vs Belgium,2002-06-04,group stage,T-44,Japan,JPN,1,0,P-46807,Inamoto,Junichi,5,T-44,Japan,JPN,67',67,0,second half,False,False,67
2113,G-2113,WC-2002,M-2002-13,Japan vs Belgium,2002-06-04,group stage,T-06,Belgium,BEL,0,1,P-02977,Van der Heyden,Peter,12,T-06,Belgium,BEL,75',75,0,second half,False,False,75
2114,G-2114,WC-2002,M-2002-14,South Korea vs Poland,2002-06-04,group stage,T-71,Korea Republic,KOR,1,0,P-15222,Hwang,Sun-hong,18,T-71,Korea Republic,KOR,26',26,0,first half,False,False,26
