match_id,tournament_id,home_team_name,away_team_name,chunk_minute,time_remaining,score_diff,red_diff,yellow_diff,home_subs,away_subs,temperature,apparent_temp,humidity,wind_speed,pre_match_rank_diff,target_home_win,hPossession,total_shot_diff,total_sot_diff,foul_diff
M-2002-07,WC-2002,England,Sweden,60,30,0,0,0,0,1,22.5565,23.742178,68.0118,6.989936,7,0,0.0,-3.0,-2.0,3.0
M-2002-07,WC-2002,England,Sweden,75,15,0,0,1,2,1,21.5065,23.275414,76.04334,5.1544156,7,0,0.0,-3.0,-2.0,3.0
M-2002-07,WC-2002,England,Sweden,90,0,0,0,1,2,2,21.5065,23.275414,76.04334,5.1544156,7,0,0.0,-3.0,-2.0,3.0
M-2002-08,WC-2002,Spain,Slovenia,15,75,0,0,0,0,0,21.0075,24.295654,91.71605,2.6208394,17,1,0.0,3.0,4.0,-2.0
M-2002-08,WC-2002,Spain,Slovenia,30,60,0,0,0,0,0,20.3075,23.509356,94.57474,2.5455842,17,1,0.0,3.0,4.0,-2.0
M-2002-08,WC-2002,Spain,Slovenia,45,45,1,0,-1,0,0,20.3075,23.509356,94.57474,2.5455842,17,1,0.0,3.0,4.0,-2.0
M-2002-08,WC-2002,Spain,Slovenia,60,30,1,0,0,0,1,20.3075,23.509356,94.57474,2.5455842,17,1,0.0,3.0,4.0,-2.0
M-2002-08,WC-2002,Spain,Slovenia,75,15,2,0,1,2,2,19.7075,22.693527,95.440285,2.5455842,17,1,0.0,3.0,4.0,-2.0
M-2002-08,WC-2002,Spain,Slovenia,90,0,2,0,1,3,3,19.7075,22.693527,95.440285,2.5455842,17,1,0.0,3.0,4.0,-2.0
M-2002-11,WC-2002,Italy,Ecuador,15,75,1,0,1,0,0,13.496,12.930834,93.98219,9.360001,30,1,0.0,5.0,4.0,-2.0
M-2002-11,WC-2002,Italy,Ecuador,30,60,2,0,1,0,0,12.646,11.705752,95.82004,10.703569,30,1,0.0,5.0,4.0,-2.0
M-2002-11,WC-2002,Italy,Ecuador,45,45,2,0,1,0,0,12.646,11.705752,95.82004,10.703569,30,1,0.0,5.0,4.0,-2.0
M-2002-11,WC-2002,Italy,Ecuador,60,30,2,0,3,0,2,12.646,11.705752,95.82004,10.703569,30,1,0.0,5.0,4.0,-2.0
M-2002-11,WC-2002,Italy,Ecuador,75,15,2,0,3,3,2,11.796,10.500692,97.39204,11.841756,30,1,0.0,5.0,4.0,-2.0
M-2002-11,WC-2002,Italy,Ecuador,90,0,2,0,2,3,3,11.796,10.500692,97.39204,11.841756,30,1,0.0,5.0,4.0,-2.0
M-2002-09,WC-2002,Croatia,Mexico,15,75,0,0,0,0,0,21.096,21.412464,50.256687,7.386582,-14,0,0.0,0.0,0.0,1.0
M-2002-09,WC-2002,Croatia,Mexico,30,60,0,0,0,0,0,20.596,20.01991,53.22593,7.289445,-14,0,0.0,0.0,0.0,1.0
M-2002-09,WC-2002,Croatia,Mexico,45,45,0,0,0,0,0,20.596,20.01991,53.22593,7.289445,-14,0,0.0,0.0,0.0,1.0
M-2002-09,WC-2002,Croatia,Mexico,60,30,-1,-1,0,1,0,20.596,20.01991,53.22593,7.289445,-14,0,0.0,0.0,0.0,1.0
M-2002-09,WC-2002,Croatia,Mexico,75,15,-1,-1,0,3,1,19.996,19.402164,56.72243,6.489992,-14,0,0.0,0.0,0.0,1.0
M-2002-09,WC-2002,Croatia,Mexico,90,0,-1,-1,0,3,2,19.996,19.402164,56.72243,6.489992,-14,0,0.0,0.0,0.0,1.0
M-2002-10,WC-2002,Brazil,Turkey,15,75,0,0,0,0,0,21.9795,23.766342,78.7991,8.12197,20,1,0.0,12.0,7.0,3.0
M-2002-10,WC-2002,Brazil,Turkey,15,75,0,0,0,0,0,21.9795,23.766342,78.7991,8.12197,20,1,44.0,7.0,7.0,-1.0
M-2002-10,WC-2002,Brazil,Turkey,30,60,0,1,2,0,0,21.9795,23.766342,78.7991,8.12197,20,1,0.0,12.0,7.0,3.0
M-2002-10,WC-2002,Brazil,Turkey,30,60,0,1,2,0,0,21.9795,23.766342,78.7991,8.12197,20,1,44.0,7.0,7.0,-1.0
M-2002-10,WC-2002,Brazil,Turkey,45,45,-1,2,3,0,0,21.9795,23.766342,78.7991,8.12197,20,1,0.0,12.0,7.0,3.0
M-2002-10,WC-2002,Brazil,Turkey,45,45,-1,2,3,0,0,21.9795,23.766342,78.7991,8.12197,20,1,44.0,7.0,7.0,-1.0
M-2002-10,WC-2002,Brazil,Turkey,60,30,0,2,3,0,0,21.379501,23.780512,81.486465,3.7585104,20,1,0.0,12.0,7.0,3.0
M-2002-10,WC-2002,Brazil,Turkey,60,30,0,2,3,0,0,21.379501,23.780512,81.486465,3.7585104,20,1,44.0,7.0,7.0,-1.0
M-2002-10,WC-2002,Brazil,Turkey,75,15,0,2,2,3,2,21.379501,23.780512,81.486465,3.7585104,20,1,0.0,12.0,7.0,3.0
M-2002-10,WC-2002,Brazil,Turkey,75,15,0,2,2,3,2,21.379501,23.780512,81.486465,3.7585104,20,1,44.0,7.0,7.0,-1.0
M-2002-10,WC-2002,Brazil,Turkey,90,0,1,2,2,3,3,21.379501,23.780512,81.486465,3.7585104,20,1,0.0,12.0,7.0,3.0
M-2002-10,WC-2002,Brazil,Turkey,90,0,1,2,2,3,3,21.379501,23.780512,81.486465,3.7585104,20,1,44.0,7.0,7.0,-1.0
M-2002-12,WC-2002,China PR,Costa Rica,15,75,0,0,1,0,0,29.1575,30.59594,39.297752,9.511088,-21,0,,,,
M-2002-12,WC-2002,China PR,Costa Rica,30,60,0,0,2,1,0,29.0075,29.700058,40.157543,9.511088,-21,0,,,,
M-2002-12,WC-2002,China PR,Costa Rica,45,45,0,0,2,1,0,29.0075,29.700058,40.157543,9.511088,-21,0,,,,
M-2002-12,WC-2002,China PR,Costa Rica,60,30,0,0,1,1,1,29.0075,29.700058,40.157543,9.511088,-21,0,,,,
M-2002-12,WC-2002,China PR,Costa Rica,75,15,-2,0,0,3,2,28.5575,28.76669,42.710808,9.085988,-21,0,,,,
M-2002-12,WC-2002,China PR,Costa Rica,90,0,-2,0,1,3,3,28.5575,28.76669,42.710808,9.085988,-21,0,,,,
M-2002-13,WC-2002,Japan,Belgium,15,75,0,0,0,0,0,24.4065,24.81538,60.253685,11.885453,-9,0,0.0,-1.0,-2.0,-2.0
M-2002-13,WC-2002,Japan,Belgium,30,60,0,0,1,0,0,24.4065,24.81538,60.253685,11.885453,-9,0,0.0,-1.0,-2.0,-2.0
M-2002-13,WC-2002,Japan,Belgium,45,45,0,0,0,0,0,24.4065,24.81538,60.253685,11.885453,-9,0,0.0,-1.0,-2.0,-2.0
M-2002-13,WC-2002,Japan,Belgium,60,30,0,0,-1,0,0,23.1065,25.109169,68.77188,3.396233,-9,0,0.0,-1.0,-2.0,-2.0
M-2002-13,WC-2002,Japan,Belgium,75,15,0,0,0,3,1,23.1065,25.109169,68.77188,3.396233,-9,0,0.0,-1.0,-2.0,-2.0
M-2002-13,WC-2002,Japan,Belgium,90,0,0,0,1,3,2,23.1065,25.109169,68.77188,3.396233,-9,0,0.0,-1.0,-2.0,-2.0
M-2002-14,WC-2002,Korea Republic,Poland,15,75,0,0,0,0,0,19.843,22.366428,89.65515,2.968636,-2,1,,,,
M-2002-14,WC-2002,Korea Republic,Poland,30,60,1,0,0,0,0,19.192999,21.522846,93.93844,4.6102495,-2,1,,,,
M-2002-14,WC-2002,Korea Republic,Poland,45,45,1,0,1,0,0,19.192999,21.522846,93.93844,4.6102495,-2,1,,,,
M-2002-14,WC-2002,Korea Republic,Poland,60,30,2,0,1,1,2,19.192999,21.522846,93.93844,4.6102495,-2,1,,,,
M-2002-14,WC-2002,Korea Republic,Poland,75,15,2,0,0,2,3,18.543,20.733294,95.40049,4.3349743,-2,1,,,,
M-2002-14,WC-2002,Korea Republic,Poland,90,0,2,0,1,3,3,18.543,20.733294,95.40049,4.3349743,-2,1,,,,
M-2002-17,WC-2002,Germany,Republic Of Ireland,15,75,0,0,0,0,0,21.4925,21.96288,68.234665,9.255571,4,0,,,,
M-2002-17,WC-2002,Germany,Republic Of Ireland,30,60,1,0,0,0,0,19.6425,20.730946,78.96483,6.379216,4,0,,,,
M-2002-17,WC-2002,Germany,Republic Of Ireland,45,45,1,0,0,0,0,19.6425,20.730946,78.96483,6.379216,4,0,,,,
M-2002-17,WC-2002,Germany,Republic Of Ireland,60,30,1,0,0,0,0,19.6425,20.730946,78.96483,6.379216,4,0,,,,
M-2002-17,WC-2002,Germany,Republic Of Ireland,75,15,1,0,0,1,2,18.1925,19.030268,85.07462,7.42159,4,0,,,,
M-2002-17,WC-2002,Germany,Republic Of Ireland,90,0,0,0,0,3,3,18.1925,19.030268,85.07462,7.42159,4,0,,,,
M-2002-15,WC-2002,Russia,Tunisia,15,75,0,0,0,0,0,29.1955,30.145988,42.06701,13.324863,3,1,0.0,10.0,5.0,-2.0
M-2002-15,WC-2002,Russia,Tunisia,30,60,0,0,-1,0,0,28.2955,28.793621,49.407818,14.440443,3,1,0.0,10.0,5.0,-2.0
M-2002-15,WC-2002,Russia,Tunisia,45,45,0,0,-1,0,0,28.2955,28.793621,49.407818,14.440443,3,1,0.0,10.0,5.0,-2.0
M-2002-15,WC-2002,Russia,Tunisia,60,30,1,0,0,2,0,28.2955,28.793621,49.407818,14.440443,3,1,0.0,10.0,5.0,-2.0
M-2002-15,WC-2002,Russia,Tunisia,75,15,2,0,1,2,2,27.1455,27.658552,57.00551,16.09969,3,1,0.0,10.0,5.0,-2.0
M-2002-15,WC-2002,Russia,Tunisia,90,0,2,0,0,3,3,27.1455,27.658552,57.00551,16.09969,3,1,0.0,10.0,5.0,-2.0
M-2002-16,WC-2002,United States,Portugal,15,75,1,0,0,0,0,27.684,28.688164,52.81141,10.587918,-8,1,45.0,-1.0,6.0,-3.0
M-2002-16,WC-2002,United States,Portugal,30,60,2,0,0,0,0,27.684,28.688164,52.81141,10.587918,-8,1,45.0,-1.0,6.0,-3.0
M-2002-16,WC-2002,United States,Portugal,45,45,2,0,1,0,0,27.684,28.688164,52.81141,10.587918,-8,1,45.0,-1.0,6.0,-3.0
M-2002-16,WC-2002,United States,Portugal,60,30,2,0,2,1,0,25.734,26.791447,59.423264,10.383987,-8,1,45.0,-1.0,6.0,-3.0
M-2002-16,WC-2002,United States,Portugal,75,15,1,0,2,2,2,25.734,26.791447,59.423264,10.383987,-8,1,45.0,-1.0,6.0,-3.0
M-2002-16,WC-2002,United States,Portugal,90,0,1,0,2,3,3,25.734,26.791447,59.423264,10.383987,-8,1,45.0,-1.0,6.0,-3.0
M-2002-20,WC-2002,France,Uruguay,15,75,0,0,1,0,0,20.393,22.244518,81.36059,4.5536795,23,0,0.0,2.0,-1.0,3.0
M-2002-20,WC-2002,France,Uruguay,30,60,0,-1,1,1,0,19.293,21.284374,87.65441,3.8939953,23,0,0.0,2.0,-1.0,3.0
M-2002-20,WC-2002,France,Uruguay,45,45,0,-1,1,1,0,19.293,21.284374,87.65441,3.8939953,23,0,0.0,2.0,-1.0,3.0
M-2002-20,WC-2002,France,Uruguay,60,30,0,-1,3,1,1,19.293,21.284374,87.65441,3.8939953,23,0,0.0,2.0,-1.0,3.0
M-2002-20,WC-2002,France,Uruguay,75,15,0,-1,3,1,3,18.043,19.980938,92.41044,3.096837,23,0,0.0,2.0,-1.0,3.0
M-2002-20,WC-2002,France,Uruguay,90,0,0,-1,3,3,3,18.043,19.980938,92.41044,3.096837,23,0,0.0,2.0,-1.0,3.0
M-2002-19,WC-2002,Cameroon,Saudi Arabia,15,75,0,0,-1,0,0,24.0565,22.502691,47.18316,15.124284,17,1,0.0,-1.0,2.0,-5.0
M-2002-19,WC-2002,Cameroon,Saudi Arabia,30,60,0,0,-1,0,0,24.0565,22.502691,47.18316,15.124284,17,1,0.0,-1.0,2.0,-5.0
M-2002-19,WC-2002,Cameroon,Saudi Arabia,45,45,0,0,-1,0,1,24.0565,22.502691,47.18316,15.124284,17,1,0.0,-1.0,2.0,-5.0
M-2002-19,WC-2002,Cameroon,Saudi Arabia,60,30,0,0,0,1,1,22.4065,21.355593,54.937786,13.493999,17,1,0.0,-1.0,2.0,-5.0
M-2002-19,WC-2002,Cameroon,Saudi Arabia,75,15,1,0,0,2,2,22.4065,21.355593,54.937786,13.493999,17,1,0.0,-1.0,2.0,-5.0
M-2002-19,WC-2002,Cameroon,Saudi Arabia,90,0,1,0,0,3,3,22.4065,21.355593,54.937786,13.493999,17,1,0.0,-1.0,2.0,-5.0
M-2002-18,WC-2002,Denmark,Senegal,15,75,0,0,0,0,0,33.5535,33.44891,21.245192,10.08,22,0,0.0,-10.0,-5.0,-7.0
M-2002-18,WC-2002,Denmark,Senegal,30,60,1,0,-1,0,0,33.1035,32.256947,23.545357,11.212135,22,0,0.0,-10.0,-5.0,-7.0
M-2002-18,WC-2002,Denmark,Senegal,45,45,1,0,-1,0,0,33.1035,32.256947,23.545357,11.212135,22,0,0.0,-10.0,-5.0,-7.0
M-2002-18,WC-2002,Denmark,Senegal,60,30,0,0,-1,1,2,33.1035,32.256947,23.545357,11.212135,22,0,0.0,-10.0,-5.0,-7.0
M-2002-18,WC-2002,Denmark,Senegal,75,15,0,1,0,2,2,32.2535,30.431324,25.542059,12.6462,22,0,0.0,-10.0,-5.0,-7.0
M-2002-18,WC-2002,Denmark,Senegal,90,0,0,1,-2,3,3,32.2535,30.431324,25.542059,12.6462,22,0,0.0,-10.0,-5.0,-7.0
M-2002-21,WC-2002,Sweden,Nigeria,15,75,0,0,0,0,0,25.5455,28.249588,71.42559,12.979984,8,1,0.0,-10.0,-1.0,4.0
M-2002-21,WC-2002,Sweden,Nigeria,30,60,-1,0,0,0,0,25.4455,27.089413,68.79577,13.237039,8,1,0.0,-10.0,-1.0,4.0
M-2002-21,WC-2002,Sweden,Nigeria,45,45,0,0,-1,0,0,25.4455,27.089413,68.79577,13.237039,8,1,0.0,-10.0,-1.0,4.0
M-2002-21,WC-2002,Sweden,Nigeria,60,30,0,0,-1,0,0,25.4455,27.089413,68.79577,13.237039,8,1,0.0,-10.0,-1.0,4.0
M-2002-21,WC-2002,Sweden,Nigeria,75,15,1,0,-2,1,2,24.6955,26.385355,73.52252,13.684735,8,1,0.0,-10.0,-1.0,4.0
M-2002-21,WC-2002,Sweden,Nigeria,90,0,1,0,-1,2,2,24.6955,26.385355,73.52252,13.684735,8,1,0.0,-10.0,-1.0,4.0
M-2002-22,WC-2002,Spain,Paraguay,15,75,-1,0,-1,0,0,26.716,27.749966,58.17104,12.287555,10,1,0.0,5.0,2.0,3.0
M-2002-22,WC-2002,Spain,Paraguay,30,60,-1,0,-1,0,0,26.716,27.749966,58.17104,12.287555,10,1,0.0,5.0,2.0,3.0
M-2002-22,WC-2002,Spain,Paraguay,45,45,-1,0,0,0,0,26.716,27.749966,58.17104,12.287555,10,1,0.0,5.0,2.0,3.0
M-2002-22,WC-2002,Spain,Paraguay,60,30,0,0,1,2,0,25.016,26.26782,62.93057,9.746631,10,1,0.0,5.0,2.0,3.0
M-2002-22,WC-2002,Spain,Paraguay,75,15,1,0,1,2,1,25.016,26.26782,62.93057,9.746631,10,1,0.0,5.0,2.0,3.0
M-2002-22,WC-2002,Spain,Paraguay,90,0,2,0,2,3,2,25.016,26.26782,62.93057,9.746631,10,1,0.0,5.0,2.0,3.0
M-2002-23,WC-2002,Argentina,England,15,75,0,0,-1,0,0,16.696,15.584019,76.50724,13.104198,9,0,55.0,0.0,-1.0,-3.0
M-2002-23,WC-2002,Argentina,England,30,60,0,0,0,0,1,15.696,14.452402,78.90739,12.88981,9,0,55.0,0.0,-1.0,-3.0
M-2002-23,WC-2002,Argentina,England,45,45,-1,0,0,0,1,15.696,14.452402,78.90739,12.88981,9,0,55.0,0.0,-1.0,-3.0
M-2002-23,WC-2002,Argentina,England,60,30,-1,0,1,2,2,15.696,14.452402,78.90739,12.88981,9,0,55.0,0.0,-1.0,-3.0
M-2002-23,WC-2002,Argentina,England,75,15,-1,0,1,3,2,15.196,13.615532,78.83446,14.113652,9,0,55.0,0.0,-1.0,-3.0
M-2002-23,WC-2002,Argentina,England,90,0,-1,0,1,3,3,15.196,13.615532,78.83446,14.113652,9,0,55.0,0.0,-1.0,-3.0
M-2002-24,WC-2002,South Africa,Slovenia,15,75,1,0,-1,0,0,30.5035,30.80553,35.5426,10.685391,-12,1,0.0,7.0,5.0,-6.0
M-2002-24,WC-2002,South Africa,Slovenia,30,60,1,0,-1,0,0,30.4035,29.772156,34.487564,10.799999,-12,1,0.0,7.0,5.0,-6.0
M-2002-24,WC-2002,South Africa,Slovenia,45,45,1,0,0,0,1,30.4035,29.772156,34.487564,10.799999,-12,1,0.0,7.0,5.0,-6.0
M-2002-24,WC-2002,South Africa,Slovenia,60,30,1,0,0,0,3,30.4035,29.772156,34.487564,10.799999,-12,1,0.0,7.0,5.0,-6.0
M-2002-24,WC-2002,South Africa,Slovenia,75,15,1,0,2,1,3,29.8035,29.227085,35.46376,10.195057,-12,1,0.0,7.0,5.0,-6.0
